ИД,ДЕФОЛТ60 (Прогноз),Скоринговый балл
6047,0,0.14871250217621393
6048,0,0.16483501842003684
6049,0,0.23296364180986817
6050,0,0.1392206812946395
6051,0,0.1455999712189013
6052,0,0.15483728234060976
6053,1,0.8822000490893321
6054,0,0.1551266304218944
6055,0,0.1762428237210659
6056,0,0.3936716046873831
6057,1,0.5070438374461086
6058,0,0.20910331739068674
6059,0,0.13931650465940731
6060,0,0.1334380472171058
6061,0,0.1817729531670794
6062,0,0.17606776933901824
6063,0,0.1505684883784032
6064,0,0.14421081992294885
6065,0,0.3360716088644272
6066,0,0.15946469886486148
6067,0,0.13388422134752923
6068,1,0.8976765821260039
6069,0,0.1313700108389111
6070,0,0.13748549036037502
6071,0,0.15527139398729012
6072,0,0.15165493018500104
6073,0,0.13765423505079685
6074,0,0.15180007812439628
6075,0,0.19638653814161572
6076,0,0.12035355794319558
6077,0,0.14025496118489839
6078,0,0.19269576922573792
6079,1,0.6887056281750676
6080,0,0.25700267471594956
6081,0,0.23055929313528598
6082,0,0.25955288802269894
6083,0,0.12952883244122365
6084,1,0.8249478281357654
6085,0,0.1302139077309959
6086,0,0.32081462451013243
6087,0,0.11561486317038215
6088,0,0.45873616264876976
6089,1,0.9143109665997953
6090,0,0.20984339658383494
6091,0,0.41367356452194115
6092,0,0.10855052431493313
6093,0,0.14060723930627542
6094,1,0.8063458773243387
6095,0,0.15303622446293022
6096,0,0.219858668503089
6097,0,0.4943030231172653
6098,0,0.1945785149940351
6099,0,0.12394542079917567
6100,0,0.15019141026199256
6101,0,0.13665549227779403
6102,0,0.13324519132071735
6103,0,0.2845131196865322
6104,0,0.35957409161562637
6105,1,0.917310438435647
6106,0,0.24011938952802295
6107,1,0.8285140706894116
6108,0,0.20251221679030634
6109,0,0.25955360747061734
6110,0,0.16195846941442835
6111,0,0.20547938897595727
6112,0,0.2053232848681299
6113,0,0.14242000588128673
6114,0,0.1047211279640588
6115,0,0.14632050315275497
6116,0,0.22778390896164663
6117,1,0.8675415165903995
6118,0,0.2046464094288773
6119,0,0.17227420730335077
6120,1,0.5498320350985259
6121,0,0.15822915054239614
6122,0,0.1434084307905808
6123,1,0.6586910092547594
6124,0,0.15299460228553435
6125,0,0.22927626996394324
6126,1,0.5558821951486275
6127,0,0.09737722605368247
6128,1,0.8042504119166078
6129,0,0.12271829863933392
6130,0,0.18081162738321466
6131,0,0.16449220236214038
6132,0,0.1282924019600053
6133,0,0.1675814228094164
6134,0,0.10183897532999024
6135,0,0.1257490022029919
6136,0,0.1315960024887874
6137,0,0.22913520417274547
6138,0,0.16372461206323113
6139,0,0.1425141962669145
6140,0,0.20761950832916293
6141,0,0.2271672165105017
6142,0,0.16772979476503017
6143,0,0.1558467044034795
6144,0,0.1790942588006937
6145,0,0.3385887555193724
6146,0,0.10205345568441553
6147,0,0.14617137588408952
6148,1,0.6180305246079416
6149,0,0.1478130158198714
6150,0,0.15997012267660865
6151,0,0.1891549407243049
6152,0,0.1710546692665459
6153,0,0.11607063642867323
6154,1,0.7752804109871476
6155,0,0.186214560216172
6156,0,0.25060977899062314
6157,0,0.15094549047640496
6158,0,0.12718322255095035
6159,0,0.34440169153744155
6160,0,0.296410686957051
6161,1,0.5434801479274824
6162,1,0.5275604555098885
6163,0,0.44148157972066165
6164,0,0.13704301809852834
6165,0,0.41852885289820596
6166,0,0.1520403332579269
6167,0,0.1989787098052052
6168,0,0.16518015131277103
6169,0,0.13790571166947876
6170,0,0.2474763970410929
6171,0,0.36829618923250956
6172,0,0.13253955237253712
6173,0,0.18971873661672248
6174,0,0.13226240037669953
6175,0,0.13702417438841288
6176,0,0.1669443609537408
6177,0,0.07328167167999296
6178,0,0.17341670504749845
6179,0,0.18566565170477528
6180,0,0.13883756082976625
6181,0,0.13473482038350446
6182,0,0.20479584525209873
6183,0,0.14652873282078963
6184,0,0.40400499146248003
6185,0,0.11357542717506305
6186,0,0.14605892535379603
6187,0,0.12280893391739109
6188,1,0.6284921782629275
6189,0,0.12212598293123318
6190,0,0.1266813222239186
6191,0,0.12404314729262579
6192,0,0.12643424724311275
6193,0,0.35808749302226633
6194,0,0.23635769152386615
6195,0,0.19737727491751095
6196,0,0.1438154891990006
6197,0,0.25560318040695446
6198,0,0.17645370640979488
6199,0,0.2227903395438395
6200,0,0.1382712850977877
6201,0,0.14333988415287008
6202,0,0.17632708973954553
6203,0,0.2255246991129827
6204,0,0.28173851802987304
6205,0,0.3518679983685407
6206,0,0.2589070855307369
6207,0,0.12707061465213626
6208,0,0.1283435783889423
6209,0,0.1602165977727899
6210,0,0.16226625428199012
6211,0,0.181555771574451
6212,0,0.15242788998290738
